index,chromosome,start,end,strand,intron_motif,n_cells,gene_id_start,gene_id_end,n_genes,gene_id,gene_name,intron_group,intron_group_size,n_genes_per_intron_group,coeff,abs_coeff,length
DIXDC1_chr11:111977795-111980736,chr11,111977795,111980736,+,1,654,ENSG00000150764,ENSG00000150764,1,ENSG00000150764,DIXDC1,DIXDC1_chr11_111980736_+,2,1,0.3260106026479716,0.3260106026479716,2941
ZFAS1_chr20:49280571-49289044,chr20,49280571,49289044,+,1,10403,ENSG00000177410,ENSG00000177410,1,ENSG00000177410,ZFAS1,ZFAS1_chr20_49289044_+,4,1,-0.0970576472580349,0.0970576472580349,8473
ZFAS1_chr20:49280965-49289044,chr20,49280965,49289044,+,1,12753,ENSG00000177410,ENSG00000177410,1,ENSG00000177410,ZFAS1,ZFAS1_chr20_49289044_+,4,1,0.051411797722063744,0.051411797722063744,8079
CLASP2_chr3:33584921-33588704,chr3,33584921,33588704,-,2,561,ENSG00000163539,ENSG00000163539,1,ENSG00000163539,CLASP2,CLASP2_chr3_33584921_-,2,1,0.509663786841161,0.509663786841161,3783
ENAH_chr1:225501071-225504990,chr1,225501071,225504990,-,2,261,ENSG00000154380,ENSG00000154380,1,ENSG00000154380,ENAH,ENAH_chr1_225501071_-,2,1,0.4414099991674697,0.4414099991674697,3919
IDI1_chr10:1043394-1043998,chr10,1043394,1043998,-,2,1361,ENSG00000067064,ENSG00000067064,1,ENSG00000067064,IDI1,IDI1_chr10_1043394_-,2,1,-0.17305182928583118,0.17305182928583118,604
TPM1_chr15:63061789-63062214,chr15,63061789,63062214,+,1,842,ENSG00000140416,ENSG00000140416,1,ENSG00000140416,TPM1,TPM1_chr15_63062214_+,2,1,0.4072814619926109,0.4072814619926109,425
MYL6_chr12:56158921-56159586,chr12,56158921,56159586,+,1,1448,,ENSG00000092841,1,ENSG00000092841,MYL6,MYL6_chr12_56159586_+,2,1,0.150478926646688,0.150478926646688,665
NASP_chr1:45600458-45602254,chr1,45600458,45602254,+,1,1185,ENSG00000132780,ENSG00000132780,1,ENSG00000132780,NASP,NASP_chr1_45602254_+,3,1,0.17027544486986865,0.17027544486986865,1796
GTF2I_chr7:74714917-74716893,chr7,74714917,74716893,+,1,371,ENSG00000263001,ENSG00000263001,1,ENSG00000263001,GTF2I,GTF2I_chr7_74716893_+,2,1,0.6853418306921003,0.6853418306921003,1976
RPL10_chrX:154400627-154400701,chrX,154400627,154400701,+,1,56266,ENSG00000147403,ENSG00000147403,1,ENSG00000147403,RPL10,RPL10_chrX_154400701_+,2,1,-0.05352622456804156,0.05352622456804156,74
RBIS_chr8:85217503-85219235,chr8,85217503,85219235,-,2,291,ENSG00000176731,ENSG00000176731,1,ENSG00000176731,RBIS,RBIS_chr8_85217503_-,3,1,0.42466602624219413,0.42466602624219413,1732
RBIS_chr8:85217503-85219322,chr8,85217503,85219322,-,2,353,ENSG00000176731,ENSG00000176731,1,ENSG00000176731,RBIS,RBIS_chr8_85217503_-,3,1,-0.13574007084992223,0.13574007084992223,1819
MRPL51_chr12:6492973-6493057,chr12,6492973,6493057,-,2,4218,ENSG00000111639,ENSG00000111639,1,ENSG00000111639,MRPL51,MRPL51_chr12_6492973_-,4,1,0.35741771790939536,0.35741771790939536,84
MRPL51_chr12:6492973-6493166,chr12,6492973,6493166,-,2,522,ENSG00000111639,,1,ENSG00000111639,MRPL51,MRPL51_chr12_6492973_-,4,1,0.27068135497777546,0.27068135497777546,193
TRIM2_chr4:153204561-153270334,chr4,153204561,153270334,+,1,146,ENSG00000109654,ENSG00000109654,1,ENSG00000109654,TRIM2,TRIM2_chr4_153270334_+,3,1,-0.6160511659312431,0.6160511659312431,65773
TRIM2_chr4:153257608-153270334,chr4,153257608,153270334,+,1,724,ENSG00000109654,ENSG00000109654,1,ENSG00000109654,TRIM2,TRIM2_chr4_153270334_+,3,1,0.49671155942945494,0.49671155942945494,12726
KIF2A_chr5:62352711-62353274,chr5,62352711,62353274,+,1,7732,ENSG00000068796,ENSG00000068796,1,ENSG00000068796,KIF2A,KIF2A_chr5_62353274_+,2,1,0.16611853529798257,0.16611853529798257,563
EML1_chr14:99874988-99878484,chr14,99874988,99878484,+,1,902,ENSG00000066629,ENSG00000066629,1,ENSG00000066629,EML1,EML1_chr14_99878484_+,2,1,0.36665925350571393,0.36665925350571393,3496
PTPRD_chr9:8733947-8857637,chr9,8733947,8857637,-,2,1886,ENSG00000153707,ENSG00000153707,1,ENSG00000153707,PTPRD,PTPRD_chr9_8733947_-,2,1,-0.27641625235298156,0.27641625235298156,123690
C1orf61_chr1:156404602-156407079,chr1,156404602,156407079,-,2,739,ENSG00000125462,ENSG00000125462,1,ENSG00000125462,C1orf61,C1orf61_chr1_156404602_-,10,1,-0.04446935409616225,0.04446935409616225,2477
C1orf61_chr1:156404602-156407841,chr1,156404602,156407841,-,2,1041,ENSG00000125462,ENSG00000125462,1,ENSG00000125462,C1orf61,C1orf61_chr1_156404602_-,10,1,-0.11032830838830207,0.11032830838830207,3239
C1orf61_chr1:156404602-156413412,chr1,156404602,156413412,-,2,451,ENSG00000125462,ENSG00000125462,1,ENSG00000125462,C1orf61,C1orf61_chr1_156404602_-,10,1,0.06042406070756258,0.06042406070756258,8810
C1orf61_chr1:156404602-156414055,chr1,156404602,156414055,-,2,200,ENSG00000125462,ENSG00000125462,1,ENSG00000125462,C1orf61,C1orf61_chr1_156404602_-,10,1,-0.0887937303369812,0.0887937303369812,9453
C1orf61_chr1:156404602-156414083,chr1,156404602,156414083,-,2,189,ENSG00000125462,ENSG00000125462,1,ENSG00000125462,C1orf61,C1orf61_chr1_156404602_-,10,1,0.06374413026844697,0.06374413026844697,9481
C1orf61_chr1:156404602-156414653,chr1,156404602,156414653,-,2,10374,ENSG00000125462,ENSG00000125462,1,ENSG00000125462,C1orf61,C1orf61_chr1_156404602_-,10,1,0.15828722028173078,0.15828722028173078,10051
C1orf61_chr1:156404602-156421554,chr1,156404602,156421554,-,2,692,ENSG00000125462,ENSG00000125462,1,ENSG00000125462,C1orf61,C1orf61_chr1_156404602_-,10,1,-0.07017555524355765,0.07017555524355765,16952
C1orf61_chr1:156404602-156421731,chr1,156404602,156421731,-,2,179,ENSG00000125462,,1,ENSG00000125462,C1orf61,C1orf61_chr1_156404602_-,10,1,-0.07308255846143288,0.07308255846143288,17129
C1orf61_chr1:156404602-156426797,chr1,156404602,156426797,-,2,4252,ENSG00000125462,ENSG00000125462,1,ENSG00000125462,C1orf61,C1orf61_chr1_156404602_-,10,1,0.07561334173941037,0.07561334173941037,22195
ROBO1_chr3:78938928-79018406,chr3,78938928,79018406,-,2,482,ENSG00000169855,ENSG00000169855,1,ENSG00000169855,ROBO1,ROBO1_chr3_78938928_-,2,1,-0.517696572105129,0.517696572105129,79478
AFF3_chr2:100008933-100011496,chr2,100008933,100011496,-,2,2025,ENSG00000144218,ENSG00000144218,1,ENSG00000144218,AFF3,AFF3_chr2_100008933_-,2,1,0.30665738362640926,0.30665738362640926,2563
HNRNPDL_chr4:82424884-82425562,chr4,82424884,82425562,-,2,2245,ENSG00000152795,ENSG00000152795,1,ENSG00000152795,HNRNPDL,HNRNPDL_chr4_82424884_-,2,1,0.12004955048335826,0.12004955048335826,678
TWF1_chr12:43797834-43798564,chr12,43797834,43798564,-,2,216,ENSG00000151239,ENSG00000151239,1,ENSG00000151239,TWF1,TWF1_chr12_43797834_-,2,1,0.4814649865456635,0.4814649865456635,730
SEPTIN2_chr2:241324242-241325992,chr2,241324242,241325992,+,1,1754,ENSG00000168385,ENSG00000168385,1,ENSG00000168385,SEPTIN2,SEPTIN2_chr2_241325992_+,2,1,-0.3595659898123073,0.3595659898123073,1750
NF1_chr17:31203132-31206239,chr17,31203132,31206239,+,1,193,,ENSG00000196712,1,ENSG00000196712,NF1,NF1_chr17_31206239_+,2,1,0.44317351791414666,0.44317351791414666,3107
ZRANB2_chr1:71065138-71065677,chr1,71065138,71065677,-,2,1148,ENSG00000132485,ENSG00000132485,1,ENSG00000132485,ZRANB2,ZRANB2_chr1_71065138_-,2,1,0.2744925739265677,0.2744925739265677,539
SOX5_chr12:23896025-23944170,chr12,23896025,23944170,-,2,306,ENSG00000134532,ENSG00000134532,1,ENSG00000134532,SOX5,SOX5_chr12_23896025_-,6,1,0.16630204875366078,0.16630204875366078,48145
SOX5_chr12:23896025-23949563,chr12,23896025,23949563,-,2,3506,ENSG00000134532,ENSG00000134532,1,ENSG00000134532,SOX5,SOX5_chr12_23896025_-,6,1,-0.22850902080980437,0.22850902080980437,53538
SOX5_chr12:23896025-23950392,chr12,23896025,23950392,-,2,172,ENSG00000134532,,1,ENSG00000134532,SOX5,SOX5_chr12_23896025_-,6,1,0.09519588109787519,0.09519588109787519,54367
SOX5_chr12:23896025-23950868,chr12,23896025,23950868,-,2,184,ENSG00000134532,ENSG00000134532,1,ENSG00000134532,SOX5,SOX5_chr12_23896025_-,6,1,0.1265064800745503,0.1265064800745503,54843
SOX5_chr12:23896025-23950941,chr12,23896025,23950941,-,2,152,ENSG00000134532,ENSG00000134532,1,ENSG00000134532,SOX5,SOX5_chr12_23896025_-,6,1,0.2815148598358436,0.2815148598358436,54916
